contract_no,rank,item,value,value_norm
20GOH0009,1,PVC Pipe (2.54x50mm dia.) Blue,487600,0.20035812741464468
20GOH0009,2,"Rope 3/4"" (200mtrs./roll) Blue",343504,0.14114810951484846
20GOH0009,3,Primer White,217200,0.08924894436927978
20GOH0009,4,Gravel 3/4,205854,0.0845867964741884
20GOH0009,5,Plywood Marine 1/2,189684,0.07794243445553622
20GOH0009,6,Cement,170208,0.06993961474772732
20GOH0009,7,RSB 10mm G40,146000,0.05999238433662454
20GOH0009,8,Reflectorized Sticker,129855,0.05335829498652314
20GOH0009,9,Road Signage R6-10,122120,0.05017993133690814
20GOH0009,10,Others,421617.23,0.17324536236371932
20H00087,1,"Road Safety Barrier System, Concete, Cast-in-place",35557632,0.2535343469432167
20H00087,2,Paint,28652768,0.20430102946662748
20H00087,3,Guide Posts,18146352,0.12938779229510372
20H00087,4,Reflectorized Thermoplastic  Pavement Markings (White),16311478.68,0.11630471047149601
20H00087,5,"Road Safety Barrier System, Steel, Guard Fence",9941127,0.07088259257041016
20H00087,6,"Regulatory Signs, 750mm, R6-10C, Bike Lanes",9199828,0.06559695493698565
20H00087,7,Structural Steel,6129270,0.043703148361753943
20H00087,8,Internally Illuminated (Solar) Pavement Levelled Marker/Studs Flash Type,5151834,0.0367337979297907
20H00087,9,"Structural Concrete, 20.68Mpa, Class ""A"", 14 days",3431564.5,0.024467868515570042
20H00087,10,Others,7725936.42,0.05508775850904563
20L00186,1,"Structural Steel, Furnished and Fabricated, Grade 50",26846498.52,0.18467616793153135
20L00186,2,Reflectorized Thermoplastic  Pavement Markings (White),15314291.157,0.10534649810497884
20L00186,3,"Reinforcing Steel, Grade 60",10832702.25,0.07451779748420158
20L00186,4,"Warning Signs, 400mm x 900mm, W6-5A, Pedestrian and Schoo! Signs Bike Lane Ahead",9505456.8,0.06538772030009658
20L00186,5,"Structural Concrete, 20.68 MPa, Class A, 28 days",8968370.879999999,0.061693124169368785
20L00186,6,"Structural Concrete, 27.58 MPa, Class A, 14 days",8968369.355,0.06169311367894466
20L00186,7,"Regulatory Signs, 450mm, R6-10A, Miscellaneous Signs Bike Lane Signs",8601497.6,0.0591694151122492
20L00186,8,"Regulatory Signs, 600mm x 900mm, Bicycles Yeald to Peds",7439086.17,0.05117322565416074
20L00186,9,"Regulatory Signs, 400mm x 900mm, Bicycles Yeald to Peds",7438082.76,0.051166323230236586
20L00186,10,Others,41456315.8875,0.2851766143342317
