group,longitude,latitude,concept,share
Abaza (Abazins),42.0,44.2,earthquakes,0.0
"Abenaki,Penobscot",-70.5,44.5,earthquakes,0.03125
Abkhaz,40.8,43.2,earthquakes,0.003278688524590164
"Abor,Gallong,Tani",95.0,28.5,earthquakes,0.012422360248447204
Aceh,95.6,5.3,earthquakes,0.0
Ache,-55.5,-25.0,earthquakes,0.0
Achomavi,-120.5,40.14,earthquakes,0.0
"Acoli,Alur,Lango",32.5,2.7,earthquakes,0.0
Admiralty islands,147.0,-2.0,earthquakes,0.0
"Adyghe, Kabardin",42.5,44.0,earthquakes,0.0
Aguaruna,-78.5,-5.0,earthquakes,0.008695652173913044
Aimara,-69.0,-16.5,earthquakes,0.0
Ainu,143.0,43.0,earthquakes,0.0
"Aka,Baka a.o.Western Pygmies",17.0,2.0,earthquakes,0.0
"Akan,Ashanti,Akwapim,Tvi",-1.5,6.5,earthquakes,0.0
Akawai,-60.0,7.0,earthquakes,0.0
"Akkad,Assyria,Babylon",44.0,33.0,earthquakes,0.0
"Akposo,Akebu,Santrokofi",0.5,7.0,earthquakes,0.0
Akuriyo,-55.4,3.2,earthquakes,0.0
"Alabama,Koasati",-87.0,32.0,earthquakes,0.0
Albanians,20.0,41.5,earthquakes,0.0
Aleut,-170.0,54.0,earthquakes,0.0
Algeria Arabs,2.0,35.0,earthquakes,0.0
Algonkian proper,-77.0,47.0,earthquakes,0.0
"Alor, Solor",124.0,-8.3,earthquakes,0.029411764705882353
Alsea,-123.9,44.5,earthquakes,0.0
"Altai-Kiji, Telengit",88.0,50.0,earthquakes,0.0
Amhara,38.0,11.5,earthquakes,0.0
Ami,121.35,23.4,earthquakes,0.0
Amuesha,-75.5,-9.5,earthquakes,0.02631578947368421
Anambe,-49.5,-2.5,earthquakes,0.0
Ancient China,110.0,34.0,earthquakes,0.0
Ancient Egypt,30.7,27.5,earthquakes,0.0
Ancient Greece,24.0,37.5,earthquakes,0.014285714285714285
Ancient Italy,13.5,42.0,earthquakes,0.0
Andaman,92.5,12.0,earthquakes,0.06666666666666667
Andoque,-73.5,-0.5,earthquakes,0.01818181818181818
"Anuak, Shilluk",33.5,7.5,earthquakes,0.0
Apinaye,-48.0,-6.0,earthquakes,0.0
Arabs of Sudan,30.0,15.0,earthquakes,0.0
Arabs: Egypt,31.0,31.0,earthquakes,0.0
Arabs: Iraq,46.0,32.0,earthquakes,0.0
Arabs: Libya,17.0,30.0,earthquakes,0.0
"Arabs: Palestine,Syria,Lebanon",36.5,34.0,earthquakes,0.0
Aragon,0.0,42.2,earthquakes,0.0
Aramaic (Syrians),36.5,33.5,earthquakes,0.0
Arapaho,-103.0,40.0,earthquakes,0.0
Arikara,-100.5,45.0,earthquakes,0.0
Armenians,43.5,40.5,earthquakes,0.005012531328320802
Arnham Land,133.0,-14.0,earthquakes,0.0
Ashaninca,-74.4,-11.5,earthquakes,0.034482758620689655
AsiaticEskimo,-173.0,65.0,earthquakes,0.0078125
Assamese,91.0,25.0,earthquakes,0.0
Assiniboine,-104.5,50.0,earthquakes,0.0
Astrakhan Tatars and Nogai,47.5,47.0,earthquakes,0.0
"Asurini,Paracana.",-51.5,-5.0,earthquakes,0.0
Atacameno,-70.0,-23.5,earthquakes,0.0
"Atayal,Sedeq,Saisiyat",121.4,24.4,earthquakes,0.01639344262295082
Athna,-145.0,62.0,earthquakes,0.0
Atsugevi,-121.0,40.08,earthquakes,0.0
Attikamek,-74.0,47.5,earthquakes,0.0
"Avar,Andi,Akhvakh",46.7,42.4,earthquakes,0.004291845493562232
Avesta; Pekhlevi texts,61.0,36.0,earthquakes,0.01818181818181818
Ayacucho dep.,-74.3,-14.0,earthquakes,0.0
Ayoreo,-60.0,-20.0,earthquakes,0.0
Azerbaijan,48.0,39.0,earthquakes,0.0
Aztec,-99.0,19.5,earthquakes,0.0
Baffin Land Eskimo,-66.0,65.0,earthquakes,0.014492753623188406
"Baiga,Bhuiya,Bhumiya",81.0,23.0,earthquakes,0.0078125
Baikal Evenki,115.0,55.0,earthquakes,0.0
Bakairi,-55.0,-14.0,earthquakes,0.0
Balahi,76.5,21.8,earthquakes,0.0
