,group,motif_id
3,"Abor,Gallong,Tani",a1
29,Amuesha,a1
66,Aztec,a1
80,"Barasana,Taibano,Makuna",a1
154,Cherokee,a1
157,Chimila,a1
183,Colorado (Tsachila),a1
186,"Comox,Pentlatch",a1
264,Guajiro,a1
275,Harakmbet,a1
289,Hoti,a1
310,Iranxe,a1
319,Juruna,a1
336,"Kanjobal,Chuj,Mocho",a1
360,Kekchi; Mopan,a1
380,"Klallam,Lkungen",a1
383,Kogi,a1
393,"Kpelle, Kono",a1
409,Lacandon,a1
449,Machiguenga,a1
519,Mundurucu,a1
526,"N.Britain,N.Ireland",a1
527,Nambikwara,a1
531,Naskapi,a1
555,Northern Ojibwa,a1
556,Northern Paiute,a1
562,Northern Shoshone,a1
608,Panare (E'napa),a1
610,Paresi,a1
676,Selknam,a1
690,Shipaya,a1
737,Svan,a1
740,Swampy Cree (Western),a1
757,Tarascan,a1
763,Tehuelche,a1
773,Thompson,a1
783,"Tiwa,Tewa,Towa",a1
793,Tonkawa,a1
804,Tseltal,a1
827,Tzotzil,a1
876,"Western Shoshoni,Gosiute",a1
881,"Witoto,Ocaina",a1
890,Yamana,a1
907,"Yucatec, Itza",a1
933,Aguaruna,a10
1083,"Chinantec,Mazatec",a10
1426,"Mixtec,Trique",a10
1617,"Shuar,Achuar,Huambiza",a10
1772,Veracruz Nahuatl,a10
1842,"Zapotec,Chatino",a10
1849,"Abor,Gallong,Tani",a11a
1874,Ami,a11a
1914,"Baiga,Bhuiya,Bhumiya",a11a
1965,"Bunun,Tsou,Kanabu",a11a
1982,Cayapa (Chachi),a11a
1983,Cayapo,a11a
1985,Central Philippines,a11a
1996,"Chehalis, Cowlitz",a11a
2013,Choco,a11a
2029,Colorado (Tsachila),a11a
2138,Huichol,a11a
2172,"Kalenjin,Nande,Arusha",a11a
2182,"Kanjobal,Chuj,Mocho",a11a
2206,Kekchi; Mopan,a11a
2236,Korea,a11a
2291,Lushootseed,a11a
2365,Mundurucu,a11a
2376,"Napo,Kanelo",a11a
2384,Nez Perce,a11a
2397,North New Guinea Melanesians,a11a
2399,Northern Luzon,a11a
2425,"Okanagon,Sanpoil",a11a
2443,"Otomi,Pame,Jonaz",a11a
2466,Pipil,a11a
2503,SE New Guinea Melanesians,a11a
2540,"Shuar,Achuar,Huambiza",a11a
2561,Sora,a11a
2627,"Timor,Leti,Lomblen",a11a
2629,"Tiwa,Tewa,Towa",a11a
2644,Trans New Guinea East,a11a
2650,Tseltal,a11a
2673,Tzotzil,a11a
2690,Ute,a11a
2772,"Abor,Gallong,Tani",a11b
2774,Ache,a11b
2837,"Baiga,Bhuiya,Bhumiya",a11b
2886,Bulgarians,a11b
2905,Cayapa (Chachi),a11b
2908,Central Philippines,a11b
2936,Choco,a11b
2943,Chugach,a11b
2952,Colorado (Tsachila),a11b
3031,Greeks (modern),a11b
3061,Huichol,a11b
3096,"Kalispel,Coeur d'Alene",a11b
3129,Kekchi; Mopan,a11b
3217,Macedonians,a11b
3249,Masai,a11b
3265,"Miao,Yao (South China)",a11b
3288,Mundurucu,a11b
3290,"Muria,Maria,Pardhan",a11b
3299,"Napo,Kanelo",a11b
3307,Nez Perce,a11b
3348,"Okanagon,Sanpoil",a11b
3366,"Otomi,Pame,Jonaz",a11b
3371,"Paiwan,Puyuma,Rukay",a11b
3389,Pipil,a11b
3401,Puebla & Huasteca Nahua,a11b
3463,"Shuar,Achuar,Huambiza",a11b
3484,Sora,a11b
3489,Southern Luzon,a11b
3552,"Tiwa,Tewa,Towa",a11b
3596,Tzotzil,a11b
3613,Ute,a11b
3689,Zoque,a11b
3852,"Chinantec,Mazatec",a11c
4195,"Mixtec,Trique",a11c
4541,Veracruz Nahuatl,a11c
4611,"Zapotec,Chatino",a11c
4615,Abaza (Abazins),a12
4616,"Abenaki,Penobscot",a12
4617,Abkhaz,a12
4618,"Abor,Gallong,Tani",a12
4620,Ache,a12
4621,Achomavi,a12
4624,"Adyghe, Kabardin",a12
4627,Ainu,a12
4628,"Aka,Baka a.o.Western Pygmies",a12
4630,Akawai,a12
4631,"Akkad,Assyria,Babylon",a12
4633,Akuriyo,a12
4634,"Alabama,Koasati",a12
4640,Alsea,a12
4641,"Altai-Kiji, Telengit",a12
4646,Ancient China,a12
4647,Ancient Egypt,a12
4648,Ancient Greece,a12
4649,Ancient Italy,a12
4654,Arabs of Sudan,a12
4657,Arabs: Libya,a12
4658,"Arabs: Palestine,Syria,Lebanon",a12
4660,Aramaic (Syrians),a12
4663,Armenians,a12
4664,Arnham Land,a12
4668,Assiniboine,a12
4674,Atsugevi,a12
4677,Avesta; Pekhlevi texts,a12
4683,"Baiga,Bhuiya,Bhumiya",a12
4685,Bakairi,a12
4687,"Balantak,Loinang,Banggai",a12
4688,"Bali, Lombok",a12
4698,Bashkir,a12
4700,Batak; Gayo,a12
4704,Bella Coola,a12
4707,"Berber (Morocco,SW Algeria)",a12
4709,"Bhil, Barela-Bhilala",a12
4717,"Bondo,Didayi,Gutob",a12
4722,Bosnia Muslims,a12
4732,Bulgarians,a12
4735,"Burmese,Intha,Arakan",a12
4737,Buryat,a12
4738,Bushmen,a12
4739,Byelorussians,a12
4746,Carrier,a12
4749,Catalonia,a12
4753,Central Australia,a12
4754,Central Philippines,a12
4760,"Chagga, Digo",a12
4764,Chechen,a12
4765,"Chehalis, Cowlitz",a12
4768,Chero,a12
4769,Cherokee,a12
4773,"Chin,Kuki,Lakher,Mizo,Lushei",a12
4774,"Chin-Naga(Rengma,Ao,Angami etc",a12
4775,"Chinantec,Mazatec",a12
4776,Chinese folklore,a12
4780,Chiriguano,a12
4783,"Choktaw,Chichasaw",a12
4785,Chol,a12
4787,Chorote,a12
4788,Chorti,a12
4790,Chukchi,a12
4792,Chumash,a12
4794,Chuvash,a12
4797,Cofan,a12
4798,Colorado (Tsachila),a12
4800,Comoros Islands,a12
4803,Cook Islands southern,a12
4804,Coos,a12
4807,"Creek, Seminole",a12
4810,Croatians,a12
4816,Cyprus Greeks,a12
4817,Czech,a12
4821,Dards,a12
4823,Darkhad,a12
4830,Diegueno,a12
4836,Durango Nahua,a12
4838,Easter Island,a12
4847,Ese'ejja,a12
4848,Estonians,a12
4857,Finns,a12
4865,French,a12
4868,Gagauz,a12
4870,"Garo,Bodo,Hami,Riga",a12
4871,Georgians,a12
4872,Germans,a12
4873,"Gilbert,Nauru,Banaba",a12
4879,Guajiro,a12
4880,Guarani,a12
4883,Gujarati,a12
4887,Halmahera,a12
4891,Hare,a12
4897,Highland Ecuador,a12
4906,Huave,a12
4908,Hungarians,a12
4909,"Hupa,Chilula",a12
4918,"India, literary sources",a12
4921,Ingush,a12
4925,Iranxe,a12
4927,Island Caribs,a12
4931,Jicaque,a12
4935,Kabyle,a12
4936,Kachin,a12
4937,Kafirs,a12
4943,Kalmyk,a12
4945,Kamakan,a12
4949,"Kamsa, Ingano",a12
4951,"Kanjobal,Chuj,Mocho",a12
4952,Kannada; Kuruba,a12
4956,"Karachays, Balkar",a12
4959,Karen,a12
4960,"Karina, Galibi",a12
4962,Karok,a12
4969,Kaxuyana,a12
4972,Kazakh,a12
4973,"Kechua: South Peru, Bolivia",a12
4977,"Ket, Yug",a12
4979,Khakas,a12
4981,Khasi,a12
4982,Khmer,a12
4983,"Khmu, Puoc",a12
4996,"Klamath, Modoc",a12
4998,Kogi,a12
5005,Korea,a12
5013,Kubu,a12
5016,Kumyk,a12
5017,Kuna,a12
5019,Kurd,a12
5022,Kwakiutl,a12
5024,Lacandon,a12
5025,"Lahu,Sani,Hani,Nasu,Jino",a12
5027,Laks,a12
5030,"Lassik,Catho,Mattole",a12
5037,"Lengua, Sanapana",a12
5040,"Lezgians,Kiurin; Archin",a12
5047,"Lisu, Lolo,Yi,Achang",a12
5048,Lithuanians,a12
5051,Locono,a12
5057,"Luiseno, Juaneno",a12
5061,Luzon Negritos,a12
5069,Maidu,a12
5075,"Malawi,Wenda,Tumbuka,Nsenga",a12
5076,Malayali; Kannikaran,a12
5077,"Maliseet,Passamaquoddy",a12
5080,Manchu,a12
5087,"Maori,Moriori",a12
5089,Marathi,a12
5090,Mari,a12
5092,Marquesas,a12
5096,Massim district,a12
5097,Mataco,a12
5099,Maxakali,a12
5103,"Mehri,Jibbali,Harsusi",a12
5105,Menomini,a12
5111,"Miao,Yao (South China)",a12
5114,Minahasa,a12
5115,Minangkabau,a12
5116,Mindanao,a12
5117,"Mingrelians, Laz",a12
5119,Mocovi,a12
5120,"Mojo,Manasi,etc.",a12
5125,Mongols (Khalkha),a12
5128,Mordvins,a12
5129,Morocco Arabs,a12
5133,"Mundari,Ho,Asur,Birhor",a12
5138,"Murut,Dusun,Tombonuvo,Bajau",a12
5139,Muslim Malay,a12
5142,Nambikwara,a12
5144,Nanai,a12
5146,Naskapi,a12
5149,Negidals,a12
5155,Nganasan,a12
5158,"Nias,Simeulue",a12
5159,Nicobar,a12
5162,Nivkh,a12
5163,Nogai,a12
5164,"Nootka,Makah",a12
5169,Northern Naga (Konyak etc.),a12
5171,Northern Paiute,a12
5176,Northern Sel'kup,a12
5189,Ofaie,a12
5190,Ohlone,a12
5191,Oirat,a12
5193,Ojibwa (Western),a12
5195,"Okinawa,Miyako,Yaeyama",a12
5198,"Omagua, Cocama",a12
5202,Opata,a12
5210,Ossetians,a12
5225,Paresi,a12
5230,"Paya,Sumu,Misquito",a12
5231,Pemon,a12
5232,Persians,a12
5240,Poles,a12
5241,Pomo,a12
5243,Popoluca,a12
5245,Potawatomi,a12
5247,Puebla & Huasteca Nahua,a12
5250,Punjabi,a12
5251,Queensland,a12
5254,Quinault,a12
5256,Rajasthani,a12
5263,Romanians,a12
5267,Russians,a12
5269,"Rutul, Tsahur",a12
5275,Salinan,a12
5282,"Santali,Turi",a12
5289,Saudia,a12
5292,"Semang,Senoi",a12
5295,Serbs,a12
5296,Seri,a12
5299,"Shan,Khampti,Ahom",a12
5300,"Shasta,Chimariko",a12
5303,Sherente,a12
5308,Shor,a12
5310,"Shughni,Rushani,Khufi,Bartangi",a12
5317,Sinhalese,a12
5318,"Siona,Coreguaje",a12
5322,Slovenians,a12
5330,Sora,a12
5332,"Sotho, Tswana",a12
5334,Southern Gur,a12
5335,Southern Luzon,a12
5337,Southern Sel'kup,a12
5343,"Stieng,Chrau,Sre",a12
5352,Svan,a12
5353,Swahili,a12
5356,Swedes,a12
5359,Tacana,a12
5361,"Tahiti, Society islands",a12
5363,"Tai,Zhuang,Nung,Kho",a12
5366,Takelma,a12
5367,Talysh,a12
5379,"Telugu, Chenchu",a12
5384,Tequstlatec,a12
5386,Teton,a12
5387,Thai (Thailand),a12
5389,Tibetans (U-Tsang),a12
5390,Tibetans: Amdo,a12
5393,Ticuna,a12
5396,"Timor,Leti,Lomblen",a12
5400,Tlapanec; Popoloca,a12
5402,Toba,a12
5403,"Toda,Kota,Pulaya,Nayar,Kadar",a12
5404,Tofa,a12
5409,"Toradja, Mori",a12
5413,Trans New Guinea East,a12
5431,"Tupari,Makurap,Ajuru",a12
5432,Tupinamba,a12
5435,Turks,a12
5438,Tuvalu (Ellice),a12
5439,Tuvinians,a12
5440,Tuvinians South Altai,a12
5442,Tzotzil,a12
5445,Udihe,a12
5447,Udmurt,a12
5451,Ukrainians,a12
5454,"Umpqua,Coquille,Tututni",a12
5455,Upper Chinook,a12
5458,Urubu-Kaapor,a12
5461,Uzbek,a12
5465,Viets,a12
5467,Volga (Kazan) Tatars,a12
5468,"Wa, Bulang",a12
5469,"Wahki,Ishkashimi,Munji",a12
5472,Wales,a12
5485,Western Australia,a12
5491,"Western Shoshoni,Gosiute",a12
5495,Wintu,a12
5497,Wiyot,a12
5504,Yakut,a12
5512,Yap,a12
5513,"Yaqui,Mayo,Sinaloa",a12
5515,Yava,a12
5520,Yokuts,a12
5522,"Yucatec, Itza",a12
5523,Yuchi,a12
5527,Yukpa,a12
5528,"Yuma,Mohave,Maricopa",a12
5530,Yurok,a12
5536,"Zulu,Swasi",a12
