mx_name,coords_name
"Akkad,Assyria,Babylon","Akkad,Assiria,Babylon"
Arabs of Sudan,Arabs: Sudan
Arabs: Iraq,"Arabs: Iraq, Kuwait"
Bulgarians,Bulgaria
Central Philippines,Central islands Philippines
Cook Islands northern,Cook islands northern
Cook Islands southern,Cook islands southern
"Banhar,Moi,Sedang","Banar,Moi,Sedang"
"Bondo,Didayi,Gutob","Bondo,Didayi,Gadaba"
"Comox,Pentlatch",Comox
"Chin,Kuki,Lakher,Mizo,Lushei","Chin,Lakher,Mizo,Lushei"
"Culina,Araua,Apurina","Culina,Ipurina"
Cyprus Greeks,Cyprus  Greeks
Daghur,Dahur
"Eastern Sami, incl. Skolts",Eastern Sami
French,France
"Ganda,Nyoro,Haya","Ganda,Nyoro"
Greeks (modern),Greek (modern)
Gros Ventre,GrosVentre
"Halcomelem,Sechelt,Squamish","Halkomelem,Sechelt,Pentl"
Hungarians,Hungary
Italians (continental),Italians
"Kaingang, Xokleng",Kaingang
"Kalapalo, Kuikuro","Kalapalo, Kuikuru"
Kannada; Kuruba,Kannada; Tulu
"Karachays, Balkar","Karachays,Balkar"
"Kayan,Kenya,Bahau,""Klemantan""","Kayan,Kenya,Bahau"
"Kete,Luba-Kasai,Kanioka","Kete,Luba-Kasai,Kaniok"
"Khmu, Puoc",Khmu
"Konde,Matumbi,Pangwa","Konde,Matumbi,Pangwe"
Lampung; S. Sumatra Malay,Lampung
"Lassik,Catho,Mattole","Lassik,Catho"
Aramaic (Syrians),Syria (Aramaic)
Macedonians,Macedonia
"Malawi,Wenda,Tumbuka,Nsenga",Malawi
Malayali; Kannikaran,Malayali
"Manjak,Balant,Papel,Felupe,Diola","Manjak, Balant, Papel,Felupe"
Maritime Koryak (Alyutor),Maritime Koryak
"Mingrelians, Laz",Mingrelians
"Namuzi, Naxi; Pumi","Namuzi, Pumi"
Nepali; Tharu,"Nepali, Tharu"
"Norvegians, Faroe islanders","Norwegians,Islanders"
Nyungwe (Tete),Nyungwe
"Ontong Java,Takuu,Nukumanu,Nukuria","Ontong Java, Nukumanu"
Punjabi,Panjabi
Portuguese,"Portugal,Galicia"
"Rennel,Tikopia,Bellona,Futuna(Erronan)","Rennel,Tikopia,Taku,etc."
Russkoye Ustye,Russkoye Ustie
"Santa-Cruz, Reef islands",Santa-Cruz islands
"Shan,Khampti,Ahom","Shan,Khampti"
"Shughni,Rushani,Khufi,Bartangi","Shughni,Rushani"
Soconuzco Mestizos; Cotzumalguapa,Soconuzco Mestizos
"Altai-Kiji, Telengit",Altai (Southern)
"Lisu, Lolo,Yi,Achang","Lisu, Lolo,Naxi,Yi,Achang"
Ohlone,Costanoan
Kraho,Craho
"Ifaluk, Lamotrek, Satawal","Ifaluk, Lamotrek, Satawan"
"Kuba,Dengese,Bushoongo,Yansi","Kuba,Dengese"
"Kumandin,Chelkan,Tubalar","Kumandin,Chelkan,Tubalar,Teleut"
Kumaoni (Central Pahari),"Kumaoni,Pahari"
Konds (Khonds),"Kond, Kui"
"Chuvans, Markovo",Markovo
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Spanish,Spain
Tabasaran; Aghul,"Tabasaran, Agul"
"Telugu, Chenchu",Telugu
Terena,Tereno
Tibetans (U-Tsang),Tibet (U-Tsang)
"Tiv,Jukun,Mbete,Wute,Ekoi","Tiv,Jukun,Bete,Wute"
Urubu-Kaapor,Urubu (Kaapor)
