year,category,name,sex,birth,age,birth_country,birth_continent
1901,Chemistry,Jacobus H. van 't Hoff,male,1852-08-30,49,the Netherlands,Europe
1901,Literature,Sully Prudhomme,male,1839-03-16,62,France,Europe
1901,Peace,Henry Dunant,male,1828-05-08,73,Switzerland,Europe
1901,Peace,Frédéric Passy,male,1822-05-20,79,France,Europe
1901,Physics,Wilhelm Conrad Röntgen,male,1845-03-27,56,Germany,Europe
1901,Medicine,Emil von Behring,male,1854-03-15,47,Poland,Europe
1902,Chemistry,Emil Fischer,male,1852-10-09,50,Germany,Europe
1902,Literature,Theodor Mommsen,male,1817-11-30,85,Germany,Europe
1902,Peace,Élie Ducommun,male,1833-02-19,69,Switzerland,Europe
1902,Peace,Albert Gobat,male,1843-05-21,59,Switzerland,Europe
1902,Physics,Hendrik A. Lorentz,male,1853-07-18,49,the Netherlands,Europe
1902,Physics,Pieter Zeeman,male,1865-05-25,37,the Netherlands,Europe
1902,Medicine,Ronald Ross,male,1857-05-13,45,India,Asia
1903,Chemistry,Svante Arrhenius,male,1859-02-19,44,Sweden,Europe
1903,Literature,Bjørnstjerne Bjørnson,male,1832-12-08,71,Norway,Europe
1903,Peace,Randal Cremer,male,1828-03-18,75,United Kingdom,Europe
1903,Physics,Henri Becquerel,male,1852-12-15,50,France,Europe
1903,Physics,Pierre Curie,male,1859-05-15,44,France,Europe
1903,Physics,Marie Curie,female,1867-11-07,36,Poland,Europe
1903,Medicine,Niels Ryberg Finsen,male,1860-12-15,42,Faroe Islands (Denmark),Europe
1904,Chemistry,Sir William Ramsay,male,1852-10-02,52,Scotland,Europe
1904,Literature,Frédéric Mistral,male,1830-09-08,74,France,Europe
1904,Literature,José Echegaray,male,1832-04-19,72,Spain,Europe
1904,Physics,Lord Rayleigh,male,1842-11-12,62,United Kingdom,Europe
1904,Medicine,Ivan Pavlov,male,1849-09-14,55,Russia,Europe
1905,Chemistry,Adolf von Baeyer,male,1835-10-31,70,Germany,Europe
1905,Literature,Henryk Sienkiewicz,male,1846-05-05,59,Poland,Europe
1905,Peace,Bertha von Suttner,female,1843-06-09,62,Czech Republic,Europe
1905,Physics,Philipp Lenard,male,1862-06-07,43,Slovakia,Europe
1905,Medicine,Robert Koch,male,1843-12-11,61,Germany,Europe
1906,Chemistry,Henri Moissan,male,1852-09-28,54,France,Europe
1906,Literature,Giosuè Carducci,male,1835-07-27,71,Italy,Europe
1906,Peace,Theodore Roosevelt,male,1858-10-27,48,USA,North America
1906,Physics,J.J. Thomson,male,1856-12-18,49,United Kingdom,Europe
1906,Medicine,Camillo Golgi,male,1843-07-07,63,Italy,Europe
1906,Medicine,Santiago Ramón y Cajal,male,1852-05-01,54,Spain,Europe
1907,Chemistry,Eduard Buchner,male,1860-05-20,47,Germany,Europe
1907,Literature,Rudyard Kipling,male,1865-12-30,41,India,Asia
1907,Peace,Ernesto Teodoro Moneta,male,1833-09-20,74,Italy,Europe
1907,Peace,Louis Renault,male,1843-05-21,64,France,Europe
1907,Physics,Albert A. Michelson,male,1852-12-19,54,Poland,Europe
1907,Medicine,Alphonse Laveran,male,1845-06-18,62,France,Europe
1908,Chemistry,Ernest Rutherford,male,1871-08-30,37,New Zealand,Oceania
1908,Literature,Rudolf Eucken,male,1846-01-05,62,Germany,Europe
1908,Peace,Klas Pontus Arnoldson,male,1844-10-27,64,Sweden,Europe
1908,Peace,Fredrik Bajer,male,1837-04-21,71,Denmark,Europe
1908,Physics,Gabriel Lippmann,male,1845-08-16,63,Luxembourg,Europe
1908,Medicine,Ilya Mechnikov,male,1845-05-15,63,Ukraine,Europe
1908,Medicine,Paul Ehrlich,male,1854-03-14,54,Poland,Europe
1909,Chemistry,Wilhelm Ostwald,male,1853-09-02,56,Latvia,Europe
1909,Literature,Selma Lagerlöf,female,1858-11-20,51,Sweden,Europe
1909,Peace,Auguste Beernaert,male,1829-07-26,80,Belgium,Europe
1909,Peace,Paul Henri d'Estournelles de Constant,male,1852-11-22,57,France,Europe
1909,Physics,Guglielmo Marconi,male,1874-04-25,35,Italy,Europe
1909,Physics,Ferdinand Braun,male,1850-06-06,59,Germany,Europe
1909,Medicine,Theodor Kocher,male,1841-08-25,68,Switzerland,Europe
1910,Chemistry,Otto Wallach,male,1847-03-27,63,Russia,Europe
1910,Literature,Paul Heyse,male,1830-03-15,80,Germany,Europe
1910,Physics,Johannes Diderik van der Waals,male,1837-11-23,73,the Netherlands,Europe
1910,Medicine,Albrecht Kossel,male,1853-09-16,57,Germany,Europe
1911,Chemistry,Marie Curie,female,1867-11-07,44,Poland,Europe
1911,Literature,Maurice Maeterlinck,male,1862-08-29,49,Belgium,Europe
1911,Peace,Tobias Asser,male,1838-04-28,73,the Netherlands,Europe
