t,n
1836,15097
1837,12478
1838,12561
1839,15867
1840,16815
1841,15581
1842,18819
1843,22644
1844,21842
1846,20791
1847,24925
1848,17970
1849,23901
1850,29090
1851,26439
1852,27197
1853,34910
1854,45291
1855,49194
1856,51992
1857,44840
1858,35208
1859,52552
1860,55126
1861,53970
1862,82063
1863,76212
1864,64810
1865,56062
1866,55722
1867,65596
1868,75270
1869,69922
1870,79469
1871,88869
1872,97060
1873,89337
1874,105528
1875,128225
1876,132887
1877,124342
1878,119559
1879,135698
1880,183698
1881,212683
1882,155086
1883,215271
1884,124000
1885,205933
1886,188029
1887,181299
1888,187847
1889,221553
1890,149297
1891,168411
1892,249905
1893,264657
1894,196651
1895,233694
1896,232673
1897,204518
1898,180818
1899,85828
1900,65191
1901,56673
1902,98596
1903,85308
1904,87053
1905,108499
1906,129454
1907,127917
1908,144735
1909,129328
1910,121472
1911,209044
1912,197076
1913,157334
1914,236498
1915,211013
1916,337490
1917,205908
1918,273258
1919,136060
1920,180341
1921,289876
1922,362072
1923,271983
1924,357830
1925,546832
1926,411232
1927,553324
1928,569938
1929,695868
1930,743980
1931,752932
1932,1016568
1933,1078653
1934,1152841
1935,516233
1936,899838
1937,871045
1938,868253
