motif_id,title,description
a1,The old sun,"Another sun, usually less benevolent and/or powerful, existed before the present one"
a10,The sun finds its eyes,The sun gets his bright eye or eyes from an animal
a11a,Eyes of the Sun and the Moon: coolness and night,"Visible sun and/or moon are the Sun's and/or the Moon's eyes. If these eyes were not injured, light and heat would be more intense"
a11b,One-eyed luminaries,The Sun or the Moon have only one eye (the Mundurucu: they are blind)
a11c,"The Sun, the Moon and monster’s eyes",The Sun and the Moon kill a monster whose eyes are unequally bright. The Moon takes the brighter eye but gives it back to the Sun
a12,Eclipses: a monster’s attack,"Some creature or creatures regularly (sunrise and sunset, summer and winter, lunar phases) or irregularly (solar and lunar eclipses, eschatological events) attack the luminaries or shade their light"
a12a,Eclipses: a predator animal,"During an eclipse or at the sunset the Sun or the Moon are attacked by a predator animal (a bear, a feline, a canine, a racoon)"
a12b,Eclipses: a frog or toad,During an eclipse or at the sunset the Sun or the Moon are attacked by a frog or toad
a12c,Eclipses: reptiles and fish,"During an eclipse or at the sunset the Sun or the Moon are attacked by a reptile (a snake, a lizard, a dragon, a crocodile) or a fish"
a12d,Eclipses: birds,A bird or birds attack or shade the Sun or the Moon during an eclipse or at the sunrise and sunset
a12e,Eclipses: spider,A spider produces the lunar eclipses
a12f,Eclipses: creditor,A creditor comes from time to time to the Sun or the Moon to claim back his money producing eclipses
a13a,Raven hides the Sun,A raven steals (hides) the Sun or tries to do it
a13a1,Raven obtains the Sun,Raven (crow) gets the hidden or stolen Sun
a13b,Ants shade the Sun,During an eclipse or during the first night ants shade or shaded the Sun
a14,Eclipses: relations between the Sun and the Moon,Coming together of the Sun and the Moon is the reason of their eclipses
a15,Eclipses: crossing of the paths,An eclipse happens when the Sun or the Moon turns to a wrong path or when their paths cross
a16,Dangers along the Sun’s way,Every night the Sun and/or the Moon passes by creatures or objects which try to destroy them
a17,The Sun’s relax at the midday,"After passing half of the its way across the sky (in the day time) or in the underworld (in the night time), the Sun stops to have a rest"
a18,The sky boats,The Sun and/or the Moon regularly travel across the sky or the underworld in a boat. (Voyages by boat of the mythical persons who eventually become the Sun or the Moon not included)
a19a,"By horse in the morning, by ox in the evening","During its everyday travel across the sky, the Sun changes its draught animals (usually in the morning the Sun rides a slow animal and in the evening a quick one)"
a19b,"By snail in summer, by bird in winter","For its sky voyage, the Sun chooses draught animals according to the season, riding a slow one in the summer time and a quick one in the winter time. Or a young man carries the Sun in the winter time and the old man in the summer time"
a20,Childhood of the Sun and Moon,The Sun and Moon are two siblings who live on earth and then ascend to the sky. Their (birth and) childhood are described
a21,Luminaries thrown up into the sky,The sun and/or the moon are inanimate objects thrown up or put into the sky
a22,To the sky from a bonfire,"After getting into the fire or boiling water, one or two persons ascend to the sky and turn into the Sun and/or Moon"
a22a,The hot Sun and its cold companion,"After two persons burn up, one turns into the present Sun and another into a less important sky object"
a22b,Hot fire and cold ashes,Person who becomes the Sun burned up in a hot fire while his companion burned up in the less hot fire or threw himself into the ashes. He (she) turns into the Moon or a star which gives no warmth
a22c,Person sacrificed to the Sun,"To make the Sun rise above the horizon, to send him to the right distance from the earth, to make him move across the sky, etc. a person has to be sacrificed"
a22d,The burned up persons turn into constellation,The burned up persons turn into a constellation or into the dark spot on the Milky Way
a23,Elections of the Sun to be,The primeval ancestors come together to choose the best candidate to become the Sun and/or to send the Sun to the sky or to see how the Sun rises to the sky for the first time
a23a,Who will see the Sun first?,Two persons or animals argue about who of them will be the first to see the rising sun. One who seemed to have less chances wins
a23b,First beams on the tree tops,Two persons or animals argue who will see the rising sun first. One who got to see not the sun itself but its reflection or the first beams on trees or mountain tops wins
a23c,Who will fly higher?,Birds argue who of them will fly higher. One who seemed to have less chances wins (he hides himself in feathers of a strong bird using it as a vehicle)
a24,The first sunrise,"In the beginning it is dark. When the Sun first appears on the sky, primeval beings or part of them perish or turn into animals or spirits"
a24a,The first day or night: transformed into spirits,"At the moment when the first day or the first night come, (some) people turn into supernatural beings"
a25,Getting accustomed to the light,"When people see light of day for the first time, they are prohibited to look at it immediately. Those who break this taboo are ruined"
a26,The Sun-bird,"A bird incorporates the Sun or the day light. It can be caught, let free, killed"
a27,Crowns of the Sun and Moon,"Light and/or heat of the Sun and/or Moon originate from their crowns, necklaces or clothes (of feathers, of animal teeth)"
