cntry,lntrust_wvsavg,tricksters_punish,risktaking,challenge_competition,fem19,malebias
AFG,,-0.024060117,0.12076426,0.06474925,48.849,0.30126497
AGO,,-0.09091061,,0.080376066,75.372,0.08170717
AIA,,-0.0057471264,,0.09195402,,0.16091955
ALB,0.17584069,-0.028450366,,0.05364955,47.081,0.24946466
AND,,-0.009900971,,0.0726069,,0.21122122
ARE,,0.03956696,0.086515,0.04538196,51.067,0.31000727
ARG,0.18386437,-0.021799369,0.04150317,0.061893955,48.814,0.19740766
ARM,0.18037729,0.0011087526,,0.05651019,49.674,0.19486116
ASM,,0.022222223,,0.022222223,,0.044444446
ATG,,-0.0057471264,,0.09195402,,0.16091955
AUS,0.38514945,-0.015487715,0.13713655,0.075986095,59.591,0.1786158
AUT,0.2933641,-0.026173519,-0.061829153,0.06542776,54.746,0.19232461
AZE,0.1757332,-0.017581832,,0.059167083,62.916,0.22740453
BDI,,-0.055555556,,0.0,80.364,0.1851852
BEL,0.27755708,-0.006613665,,0.08888981,47.867,0.16682377
BEN,,-0.10934007,,0.060271833,69.335,0.10296351
BFA,0.13707674,-0.051241837,,0.092600204,58.292,0.08270963
BGD,0.20064016,-0.006696008,-0.19806775,0.04898262,36.143,0.2671586
BGR,0.21876578,-0.021319596,,0.034280244,49.416,0.15844771
BHR,0.29403934,0.041841004,,0.058577407,44.613,0.29707113
BIH,0.20477267,-0.04708011,-0.12563907,0.069071256,35.521,0.18829621
BLR,0.287383,-0.023419065,,0.057774115,57.827,0.176435
BLZ,,-0.021341374,,0.06793636,53.649,0.18836683
BOL,,-0.016731743,0.10303829,0.061859436,56.611,0.1706682
BRA,0.07095469,-0.036808226,-0.2505968,0.05922689,53.882,0.20991611
BRN,,-0.020097023,,0.07251578,58.072,0.10057258
BTN,,-0.014400387,,0.06438184,58.389,0.16102687
BWA,,-0.07899516,0.6973792,0.050588846,66.52,0.078855716
CAF,,-0.044826563,,0.038676254,64.667,0.0742671
CAN,0.3679475,-0.015583631,0.18354815,0.06666689,60.658,0.18831234
CHE,0.38529015,-0.021627821,-0.019343413,0.06382548,62.588,0.19907518
CHL,0.17377041,-0.020472087,0.1253722,0.06880029,51.133,0.20174068
CHN,0.4527304,-0.010428221,-0.019810122,0.044405747,60.637,0.1323214
CIV,,-0.030787826,,0.07425355,48.348,0.124350026
CMR,,-0.083421655,-0.5350593,0.059005447,71.027,0.121754855
COD,,-0.060003612,,0.06320425,60.546,0.08779999
COG,,-0.055107296,,0.07274098,66.823,0.09463047
COL,0.103392035,-0.022000067,-0.045174524,0.06398352,58.613,0.19091892
COM,,-0.05882353,,0.029411765,37.642,0.23529412
CPV,,-0.04076087,,0.05706522,65.51,0.2201087
CRI,,-0.021734266,0.0016722156,0.06617166,45.86,0.19840138
CUB,,-0.025509711,,0.06802978,39.85,0.19514921
CYM,,-0.015923567,,0.067940556,,0.18895966
CYP,0.09912876,-0.025357163,,0.04845747,57.2,0.21234529
CZE,0.24272174,-0.0012415064,-0.020464402,0.055683557,52.334,0.21839075
DEU,0.30728546,-0.026185518,-0.044485882,0.06552006,55.268,0.19205034
DJI,,0.037325177,,0.00024319033,54.908,0.30103332
DMA,0.2346638,-0.0057471264,,0.09195402,,0.16091955
DNK,0.49756092,0.011103732,,0.077775344,57.989,0.24443409
DOM,,-0.028044151,,0.06814834,51.003,0.19099191
DZA,0.135054,-0.041724216,0.39153048,0.05574731,14.918,0.2030984
ECU,0.06921512,-0.017388918,,0.05974343,56.628,0.17889109
EGY,0.23525622,0.0034246494,-0.2808962,0.037671153,22.935,0.23287691
ERI,,-0.04163569,,0.00805648,74.173,0.18611743
ESH,,-0.08312719,,0.1246817,,0.1668546
ESP,0.27612653,-0.020935612,-0.15840179,0.06849313,51.4,0.20523563
EST,0.26370975,-0.011392249,-0.29543343,0.05422227,56.736,0.18278751
ETH,0.2185669,-0.03085375,,0.029703839,74.372,0.16715355
FIN,0.45778206,-0.0071391403,-0.28276014,0.06454438,54.855,0.19054446
FJI,,-0.005563574,,0.045976788,38.247,0.21475893
FRA,0.20868357,-0.009997113,-0.030104645,0.060573477,50.249,0.21385849
