year,group,share
1917,bottom90,0.19044627256428437
1918,bottom90,0.18724914055254482
1919,bottom90,0.17470313544528848
1920,bottom90,0.19101697049771382
1921,bottom90,0.19223495703399684
1922,bottom90,0.18320309121182832
1923,bottom90,0.17972404741292125
1924,bottom90,0.1679756449913592
1925,bottom90,0.15988063207737235
1926,bottom90,0.15052841899474934
1927,bottom90,0.14030163175033883
1928,bottom90,0.1383620622506303
1929,bottom90,0.13864412824762595
1930,bottom90,0.1346074692766016
1931,bottom90,0.1364179982464534
1932,bottom90,0.13180990888523914
1933,bottom90,0.1363455450951162
1934,bottom90,0.15105019401058428
1935,bottom90,0.16283632847181062
1936,bottom90,0.15953594031874752
1937,bottom90,0.1759516305395873
1938,bottom90,0.17949981152384464
1939,bottom90,0.1768802293866667
1940,bottom90,0.20543184760083566
1941,bottom90,0.230392475131166
1942,bottom90,0.24765904418573526
1943,bottom90,0.24468880853241093
1944,bottom90,0.26438894179814454
1945,bottom90,0.25964220893289947
1946,bottom90,0.26264732646055244
1947,bottom90,0.2748896694906705
1948,bottom90,0.2865967313659238
1949,bottom90,0.29340545412913077
1950,bottom90,0.29014769524972683
1951,bottom90,0.29030945430787314
1952,bottom90,0.2931410773100567
1953,bottom90,0.2991813676381079
1954,bottom90,0.29566745150520934
1955,bottom90,0.2922045151305299
1956,bottom90,0.2888872928922387
1957,bottom90,0.28461346322434633
1958,bottom90,0.2854768242121317
1959,bottom90,0.27911492417942585
1960,bottom90,0.27647491281595504
1961,bottom90,0.274512440006644
1962,bottom90,0.269204080104828
1963,bottom90,0.27111750841140736
1964,bottom90,0.27303093671798695
1965,bottom90,0.27676808834075917
1966,bottom90,0.2805052399635315
1967,bottom90,0.2861781567335129
1968,bottom90,0.2864309214055538
1969,bottom90,0.2960919803008436
1970,bottom90,0.2930445389356464
1971,bottom90,0.2944773514172996
1972,bottom90,0.2899786104535452
1973,bottom90,0.29705667172311245
1974,bottom90,0.3047712884208522
1975,bottom90,0.3083343615596731
1976,bottom90,0.3148978230969419
1977,bottom90,0.3167514323596238
1978,bottom90,0.3220578610749065
1979,bottom90,0.3131006956100464
1980,bottom90,0.3158618211746216
1981,bottom90,0.3202167749404907
1982,bottom90,0.33046829700469993
1983,bottom90,0.3368759751319885
1984,bottom90,0.334458589553833
1985,bottom90,0.33811008930206277
1986,bottom90,0.3364395499229431
1987,bottom90,0.33259791135787986
1988,bottom90,0.3199349045753479
1989,bottom90,0.31921082735061646
1990,bottom90,0.31654679775238026
1991,bottom90,0.3165745735168457
1992,bottom90,0.30190014839172363
1993,bottom90,0.2984268069267273
1994,bottom90,0.2974051833152772
1995,bottom90,0.29509836435317993
1996,bottom90,0.2903967499732971
1997,bottom90,0.2836500406265259
1998,bottom90,0.2780698537826537
1999,bottom90,0.27763569355011
2000,bottom90,0.27618563175201427
2001,bottom90,0.2823881506919862
2002,bottom90,0.28187161684036255
2003,bottom90,0.2802104949951172
2004,bottom90,0.2764909267425537
2005,bottom90,0.2743692994117738
2006,bottom90,0.2731974720954895
2007,bottom90,0.26650869846344005
2008,bottom90,0.2516192197799684
2009,bottom90,0.24523258209228516
2010,bottom90,0.23323118686676014
2011,bottom90,0.22532671689987172
2012,bottom90,0.21794062852859486
2013,bottom90,0.2168232202529906
2014,bottom90,0.21833896636962902
2015,bottom90,0.2210702896118163
