group,year,rate
P0-10,1950,0.16143249418854747
P10-20,1950,0.17069763973383936
P20-30,1950,0.1853042181848958
P30-40,1950,0.19024296422685197
P40-50,1950,0.19177429767176077
P50-60,1950,0.19739597723164992
P60-70,1950,0.19791795609251198
P70-80,1950,0.20105250701546645
P80-90,1950,0.2123649506997075
P90-95,1950,0.2277518918290664
P95-99,1950,0.28281061490937065
P99-99.9,1950,0.40020987655867873
P99.9-99.99,1950,0.5086326132657593
P99.99-top 400,1950,0.6793192598783484
Top 400,1950,0.7018711495031373
P0-10,1960,0.18503324042724326
P10-20,1960,0.20290160118417555
P20-30,1960,0.22413693640592558
P30-40,1960,0.23330004903856533
P40-50,1960,0.23725700870615557
P50-60,1960,0.24431209848287802
P60-70,1960,0.2452308078143411
P70-80,1960,0.24732862369823014
P80-90,1960,0.2549433228776589
P90-95,1960,0.25720577023981694
P95-99,1960,0.2903199514093877
P99-99.9,1960,0.3907008745933924
P99.9-99.99,1960,0.5088127369712208
P99.99-top 400,1960,0.5500436650673081
Top 400,1960,0.5627803320070065
P0-10,1970,0.19782482445344204
P10-20,1970,0.23810221031525844
P20-30,1970,0.25882524966195103
P30-40,1970,0.26748292629594755
P40-50,1970,0.2666874782871678
P50-60,1970,0.2730961070149583
P60-70,1970,0.272620418770192
P70-80,1970,0.2724307071952609
P80-90,1970,0.27658867508299056
P90-95,1970,0.277425669380243
P95-99,1970,0.30321130415915665
P99-99.9,1970,0.38539890000603255
P99.9-99.99,1970,0.496403691224052
P99.99-top 400,1970,0.5420371938572992
Top 400,1970,0.5267282662217564
P0-10,1980,0.19846632381431545
P10-20,1980,0.22178665053430988
P20-30,1980,0.2528162461251971
P30-40,1980,0.27197883881074786
P40-50,1980,0.2855866908615557
P50-60,1980,0.2975958186106259
P60-70,1980,0.3029018969340535
P70-80,1980,0.310817921358789
P80-90,1980,0.3144697514613993
P90-95,1980,0.3025832658943244
P95-99,1980,0.31191043468363394
P99-99.9,1980,0.36222616424760745
P99.9-99.99,1980,0.422025843460698
P99.99-top 400,1980,0.4591066805591584
Top 400,1980,0.4717445420387139
P0-10,1990,0.2425036027131187
P10-20,1990,0.25671986339835623
P20-30,1990,0.27905484028194677
P30-40,1990,0.28616568832856176
P40-50,1990,0.29048422454548894
P50-60,1990,0.2978122125883853
P60-70,1990,0.30466580066995225
P70-80,1990,0.3158759879708961
P80-90,1990,0.32332773850555035
P90-95,1990,0.3124117021105606
P95-99,1990,0.3040150251675665
P99-99.9,1990,0.3117998501184196
P99.9-99.99,1990,0.3370681854858776
P99.99-top 400,1990,0.38550736726518686
Top 400,1990,0.360144865765177
P0-10,2000,0.24267052390788738
P10-20,2000,0.2615624594946601
P20-30,2000,0.27590763292755854
P30-40,2000,0.26856848874898387
P40-50,2000,0.27975718797889104
P50-60,2000,0.2909286022142683
P60-70,2000,0.300685226444321
P70-80,2000,0.31330712565067
P80-90,2000,0.32540802142427505
P90-95,2000,0.3201750694569665
P95-99,2000,0.3154637026491196
P99-99.9,2000,0.32967299786512905
P99.9-99.99,2000,0.37456824892462903
P99.99-top 400,2000,0.37963662539094833
Top 400,2000,0.3314021674791183
P0-10,2010,0.24812153182627877
P10-20,2010,0.23866446166985575
P20-30,2010,0.23612513472596144
P30-40,2010,0.23663096444016496
P40-50,2010,0.23934451068660056
P50-60,2010,0.25338949248956905
P60-70,2010,0.2622333585699022
P70-80,2010,0.2773215538351991
P80-90,2010,0.29116964240297005
P90-95,2010,0.2899152902556523
P95-99,2010,0.2832263758699171
P99-99.9,2010,0.2769625286794608
P99.9-99.99,2010,0.3038882688810464
P99.99-top 400,2010,0.29593981246133383
Top 400,2010,0.27669896211592254
P0-10,2018,0.25620002980513507
P10-20,2018,0.2424960433807022
P20-30,2018,0.24495110745695556
P30-40,2018,0.23520665382351466
P40-50,2018,0.2419753421332535
P50-60,2018,0.25385615402794004
P60-70,2018,0.2625694471174766
P70-80,2018,0.27768774909024324
P80-90,2018,0.2940288055229968
P90-95,2018,0.2863383933554365
P95-99,2018,0.27661467240002807
P99-99.9,2018,0.28913925986085925
P99.9-99.99,2018,0.33153582466586423
P99.99-top 400,2018,0.30363001988579297
Top 400,2018,0.2304152841617149
