year,title,winner,gross_us,gross_int,gross,mc_critics,mc_users,url_wiki,url_imdb,url_metacritic
2000,Gladiator,yes,187705427,315456886,503162313,67,8.8,/wiki/Gladiator_(2000_film),tt0172495,https://www.metacritic.com/movie/gladiator
2000,Chocolat,no,71509363,81190613,152699976,64,7.2,/wiki/Chocolat_(2000_film),tt0241303,https://www.metacritic.com/movie/chocolat
2000,"Crouching Tiger, Hidden Dragon",no,128078872,85446864,213525736,94,8.2,"/wiki/Crouching_Tiger,_Hidden_Dragon",tt0190332,https://www.metacritic.com/movie/crouching-tiger-hidden-dragon
2000,Erin Brockovich,no,125595205,130676081,256271286,73,8.2,/wiki/Erin_Brockovich_(film),tt0195685,https://www.metacritic.com/movie/erin-brockovich
2000,Traffic,no,124115725,83400000,207515725,86,8.8,/wiki/Traffic_(2000_film),tt0181865,https://www.metacritic.com/movie/traffic
2001,A Beautiful Mind,yes,170742341,146048916,316791257,72,8.1,/wiki/A_Beautiful_Mind_(film),tt0268978,https://www.metacritic.com/movie/a-beautiful-mind
2001,Gosford Park,no,41308615,46445429,87754044,90,7.3,/wiki/Gosford_Park,tt0280707,https://www.metacritic.com/movie/gosford-park
2001,In the Bedroom,no,35930604,8832577,44763181,86,7.5,/wiki/In_the_Bedroom,tt0247425,https://www.metacritic.com/movie/in-the-bedroom
2001,The Lord of the Rings: The Fellowship of the Ring,no,316115420,582089000,898204420,92,9,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,tt0120737,https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring
2001,Moulin Rouge!,no,57386607,127548713,184935320,66,8.4,/wiki/Moulin_Rouge!,tt0203009,https://www.metacritic.com/movie/moulin-rouge!
2002,Chicago,yes,170687518,136089214,306776732,81,7.9,/wiki/Chicago_(2002_film),tt0299658,https://www.metacritic.com/movie/chicago
2002,Gangs of New York,no,77812000,115960504,193772504,72,7.5,/wiki/Gangs_of_New_York,tt0217505,https://www.metacritic.com/movie/gangs-of-new-york/
2002,The Hours,no,41675994,67170078,108846072,80,8.4,/wiki/The_Hours_(film),tt0274558,https://www.metacritic.com/movie/the-hours
2002,The Lord of the Rings: The Two Towers,no,342952511,604991759,947944270,87,8.9,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,tt0167261,https://www.metacritic.com/movie/the-lord-of-the-rings-the-two-towers
2002,The Pianist,no,32572577,87500000,120072577,85,8,/wiki/The_Pianist_(2002_film),tt0253474,https://www.metacritic.com/movie/the-pianist
2003,The Lord of the Rings: The Return of the King,yes,378251207,768206541,1146457748,94,8.8,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,tt0167260,https://www.metacritic.com/movie/the-lord-of-the-rings-the-return-of-the-king
